DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Belgium,2022,-0.2,p
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Bulgaria,2022,7,p
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Switzerland,2022,3.3,p
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Cyprus,2022,17.1,p
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Czechia,2022,6.9,dp
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Germany,2022,1.3,b
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Denmark,2022,5.6,
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Spain,2022,-3.8,p
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Finland,2022,5.9,p
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,France,2022,1.3,p
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Croatia,2022,2.5,p
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Hungary,2022,7.3,
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Ireland,2022,1.2,
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Iceland,2022,0.7,
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Italy,2022,2.7,p
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Lithuania,2022,12.4,p
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Latvia,2022,11.1,p
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Malta,2022,15.7,
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Netherlands,2022,2.5,p
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Norway,2022,2.7,dp
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Poland,2022,6.1,
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Portugal,2022,6.7,p
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Romania,2022,5.4,e
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Sweden,2022,5.2,
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Slovenia,2022,10,p
ESTAT:EARN_GR_GPGR2AG(1.0),19/02/24 23:00:00,Annual,Percentage,Less than 25 years,Slovakia,2022,8.0,
